"anio","jurisdiccion_de_residencia_id","jurisdicion_residencia_nombre","cie10_causa_id","cie10_clasificacion","sexo_id","Sexo","muerte_materna_id","muerte_materna_clasificacion","grupo_edad","cantidad"
2018,50,"Mendoza","P24","Síndromes de aspiración neonatal",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2007,66,"Salta","Q91","Síndrome de Edwards y síndrome  de Patau",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2006,30,"Entre Ríos","P22","Dificultad respiratoria del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2017,54,"Misiones","A50","Sífilis congénita",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2006,6,"Buenos Aires","D18","Hemangioma y linfangioma de cualquier sitio",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2014,70,"San Juan","P96","Otras afecciones originadas en el período perinatal",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2018,90,"Tucumán","Q24","Otras malformaciones congénitas del corazón",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,6,"Buenos Aires","A50","Sífilis congénita",1,"masculino","",NA,"01.De a 0  a 14 anios",4
2007,46,"La Rioja","P96","Otras afecciones originadas en el período perinatal",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2005,58,"Neuquén","X91","Agresión por ahorcamiento, estrangulamiento y sofocación",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2017,38,"Jujuy","Q04","Otras malformaciones congénitas del encéfalo",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2012,82,"Santa Fe","Q60","Agenesia renal y otras malformaciones hipoplásicas del riñón",1,"masculino","",NA,"01.De a 0  a 14 anios",3
2016,90,"Tucumán","J21","Bronquiolitis aguda",1,"masculino",NA,NA,"01.De a 0  a 14 anios",3
2018,6,"Buenos Aires","Q60","Agenesia renal y otras malformaciones hipoplásicas del riñón",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2015,30,"Entre Ríos","P78","Otros trastornos perinatales del sistema digestivo",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2019,6,"Buenos Aires","P83","Otras afecciones de la piel especificas del feto y del recién nacido",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2017,26,"Chubut","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2020,62,"Río Negro","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino",NA,NA,"01.De a 0  a 14 anios",2
2015,50,"Mendoza","Q00","Anencefalia y malformaciones congénitas similares",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2011,86,"Santiago del Estero","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",6
2010,66,"Salta","J21","Bronquiolitis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",3
2017,6,"Buenos Aires","A50","Sífilis congénita",1,"masculino",NA,NA,"01.De a 0  a 14 anios",6
2013,6,"Buenos Aires","Q21","Malformaciones congénitas de los tabiques cardíacos",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2012,22,"Chaco","B00","Infecciones herpética [herpes simple]",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,2,"Ciudad Autónoma de Buenos Aires","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2009,90,"Tucumán","J21","Bronquiolitis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2021,6,"Buenos Aires","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",2,"femenino",NA,NA,"01.De a 0  a 14 anios",6
2013,62,"Río Negro","J22","Infección aguda no especificada de las vías respiratorias inferiores",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2016,90,"Tucumán","J21","Bronquiolitis aguda",2,"femenino",NA,NA,"01.De a 0  a 14 anios",2
2009,38,"Jujuy","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2008,18,"Corrientes","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",2,"femenino","",NA,"01.De a 0  a 14 anios",3
2016,2,"Ciudad Autónoma de Buenos Aires","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",1,"masculino",NA,NA,"01.De a 0  a 14 anios",4
2013,18,"Corrientes","Y83","Cirugía y otros procedimientos quirúrgicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2008,34,"Formosa","A50","Sífilis congénita",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,34,"Formosa","Q00","Anencefalia y malformaciones congénitas similares",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2005,50,"Mendoza","E88","Otros trastornos metabólicos",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2014,54,"Misiones","E84","Fibrosis quística",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2006,30,"Entre Ríos","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",5
2005,6,"Buenos Aires","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",2,"femenino"," ",NA,"01.De a 0  a 14 anios",1
2021,86,"Santiago del Estero","I42","Cardiomiopatía",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2017,82,"Santa Fe","A50","Sífilis congénita",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2021,38,"Jujuy","Q04","Otras malformaciones congénitas del encéfalo",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,14,"Córdoba","Q25","Malformaciones congénitas de las grandes arterias",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2011,14,"Córdoba","J21","Bronquiolitis aguda",2,"femenino","",NA,"01.De a 0  a 14 anios",4
2014,42,"La Pampa","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2016,6,"Buenos Aires","P94","Trastornos del tono muscular del recién nacido",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2014,82,"Santa Fe","C95","Leucemia de células de tipo no especificado",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2012,2,"Ciudad Autónoma de Buenos Aires","J96","Insuficiencia respiratoria, no clasificada en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,6,"Buenos Aires","J21","Bronquiolitis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2020,30,"Entre Ríos","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino",NA,NA,"01.De a 0  a 14 anios",5
2019,14,"Córdoba","J21","Bronquiolitis aguda",2,"femenino",NA,NA,"01.De a 0  a 14 anios",2
2019,6,"Buenos Aires","Q04","Otras malformaciones congénitas del encéfalo",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2007,30,"Entre Ríos","E84","Fibrosis quística",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,6,"Buenos Aires","G71","Trastornos musculares primarios",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,22,"Chaco","Q00","Anencefalia y malformaciones congénitas similares",2,"femenino","",NA,"01.De a 0  a 14 anios",3
2009,34,"Formosa","J09","Influenza debida a ciertos virus de la influenza identificados",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2017,22,"Chaco","P83","Otras afecciones de la piel especificas del feto y del recién nacido",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2013,14,"Córdoba","E84","Fibrosis quística",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,14,"Córdoba","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino"," ",NA,"01.De a 0  a 14 anios",2
2013,58,"Neuquén","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",4
2018,34,"Formosa","J18","Neumonía, organismo no especificado",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2020,50,"Mendoza","Q91","Síndrome de Edwards y síndrome  de Patau",2,"femenino",NA,NA,"01.De a 0  a 14 anios",4
2009,66,"Salta","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",22
2008,54,"Misiones","G04","Encefalitis, mielitis y encefalomielitis",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2018,66,"Salta","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",3
2019,2,"Ciudad Autónoma de Buenos Aires","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,18,"Corrientes","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2020,66,"Salta","Q25","Malformaciones congénitas de las grandes arterias",1,"masculino",NA,NA,"01.De a 0  a 14 anios",2
2012,54,"Misiones","J21","Bronquiolitis aguda",2,"femenino","",NA,"01.De a 0  a 14 anios",3
2006,22,"Chaco","E88","Otros trastornos metabólicos",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2005,70,"San Juan","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino"," ",NA,"01.De a 0  a 14 anios",1
2007,34,"Formosa","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2018,6,"Buenos Aires","A37","Tos ferina [tos convulsiva]",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,82,"Santa Fe","Q90","Síndrome de Down",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2013,78,"Santa Cruz","P78","Otros trastornos perinatales del sistema digestivo",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2015,82,"Santa Fe","K72","Insuficiencia hepática, no clasificada en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2019,14,"Córdoba","A50","Sífilis congénita",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2008,46,"La Rioja","Q20","Malformaciones congénitas de las cámaras cardíacas y sus conexiones",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2020,50,"Mendoza","E88","Otros trastornos metabólicos",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2014,6,"Buenos Aires","P90","Convulsiones del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2006,66,"Salta","Q05","Espina bífida",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2007,86,"Santiago del Estero","R99","Otras causas mal definidas y las no especificadas de mortalidad",2,"femenino","",NA,"01.De a 0  a 14 anios",6
2019,90,"Tucumán","B34","Infección viral de sitio no especificado",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2016,38,"Jujuy","Q21","Malformaciones congénitas de los tabiques cardíacos",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2005,62,"Río Negro","K72","Insuficiencia hepática, no clasificada en otra parte",2,"femenino"," ",NA,"01.De a 0  a 14 anios",1
2018,34,"Formosa","Q22","Malformaciones congénitas de la válvulas pulmonar y tricúspide",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2018,2,"Ciudad Autónoma de Buenos Aires","R95","Síndrome de la muerte súbita infantil",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2019,6,"Buenos Aires","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",2,"femenino",NA,NA,"01.De a 0  a 14 anios",7
2009,6,"Buenos Aires","Q91","Síndrome de Edwards y síndrome  de Patau",1,"masculino","",NA,"01.De a 0  a 14 anios",5
2012,58,"Neuquén","J18","Neumonía, organismo no especificado",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2021,74,"San Luis","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2011,62,"Río Negro","J21","Bronquiolitis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,6,"Buenos Aires","I27","Otras enfermedades cardiopulmonares",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2017,2,"Ciudad Autónoma de Buenos Aires","P21","Asfixia del nacimiento",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2016,82,"Santa Fe","P24","Síndromes de aspiración neonatal",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2012,90,"Tucumán","Q90","Síndrome de Down",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2014,86,"Santiago del Estero","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,2,"Ciudad Autónoma de Buenos Aires","K76","Otras enfermedades del hígado",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,2,"Ciudad Autónoma de Buenos Aires","Q04","Otras malformaciones congénitas del encéfalo",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2007,86,"Santiago del Estero","G93","Otros trastornos del encéfalo",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2006,82,"Santa Fe","B37","Candidiasis",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2006,10,"Catamarca","A50","Sífilis congénita",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2013,66,"Salta","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2007,30,"Entre Ríos","J18","Neumonía, organismo no especificado",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2019,86,"Santiago del Estero","C80","Tumor maligno de sitios no especificados",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,90,"Tucumán","Q03","Hidrocéfalo congénito",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2006,2,"Ciudad Autónoma de Buenos Aires","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",5
2005,6,"Buenos Aires","D43","Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2010,2,"Ciudad Autónoma de Buenos Aires","A50","Sífilis congénita",1,"masculino","",NA,"01.De a 0  a 14 anios",3
2012,54,"Misiones","Q91","Síndrome de Edwards y síndrome  de Patau",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,99,"Sin Información","J96","Insuficiencia respiratoria, no clasificada en otra parte",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2009,6,"Buenos Aires","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2008,34,"Formosa","Q22","Malformaciones congénitas de la válvulas pulmonar y tricúspide",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2006,2,"Ciudad Autónoma de Buenos Aires","P20","Hipoxia intrauterina",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2019,46,"La Rioja","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",1,"masculino",NA,NA,"01.De a 0  a 14 anios",2
2017,14,"Córdoba","Q77","Osteocondrodisplasia con defecto del crecimiento de los huesos largos y de la columna vertebral",1,"masculino",NA,NA,"01.De a 0  a 14 anios",3
2005,6,"Buenos Aires","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",2,"femenino"," ",NA,"01.De a 0  a 14 anios",168
2007,2,"Ciudad Autónoma de Buenos Aires","Q03","Hidrocéfalo congénito",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2007,54,"Misiones","I27","Otras enfermedades cardiopulmonares",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2013,26,"Chubut","P07","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",6
2015,6,"Buenos Aires","J21","Bronquiolitis aguda",2,"femenino",NA,NA,"01.De a 0  a 14 anios",2
2020,42,"La Pampa","R95","Síndrome de la muerte súbita infantil",3,"indeterminado",NA,NA,"01.De a 0  a 14 anios",1
2017,2,"Ciudad Autónoma de Buenos Aires","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2013,58,"Neuquén","J18","Neumonía, organismo no especificado",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2019,50,"Mendoza","Q04","Otras malformaciones congénitas del encéfalo",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2006,66,"Salta","I30","Pericarditis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2009,14,"Córdoba","Q00","Anencefalia y malformaciones congénitas similares",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,54,"Misiones","E43","Desnutrición proteicocalórica severa, no especificada",2,"femenino"," ",NA,"01.De a 0  a 14 anios",1
2013,90,"Tucumán","P83","Otras afecciones de la piel especificas del feto y del recién nacido",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2009,90,"Tucumán","P94","Trastornos del tono muscular del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2012,70,"San Juan","R95","Síndrome de la muerte súbita infantil",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2008,86,"Santiago del Estero","P96","Otras afecciones originadas en el período perinatal",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2009,34,"Formosa","J21","Bronquiolitis aguda",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2013,66,"Salta","I82","Otras embolias y trombosis venosas",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2009,6,"Buenos Aires","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino","",NA,"01.De a 0  a 14 anios",12
2014,6,"Buenos Aires","Q90","Síndrome de Down",1,"masculino","",NA,"01.De a 0  a 14 anios",9
2016,86,"Santiago del Estero","J21","Bronquiolitis aguda",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2018,18,"Corrientes","A50","Sífilis congénita",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2007,62,"Río Negro","Q05","Espina bífida",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2013,6,"Buenos Aires","A05","Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",10
2011,74,"San Luis","P00","Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2011,6,"Buenos Aires","A37","Tos ferina [tos convulsiva]",1,"masculino","",NA,"01.De a 0  a 14 anios",27
2012,30,"Entre Ríos","G12","Atrofia muscular espinal y síndromes afines",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2009,10,"Catamarca","P22","Dificultad respiratoria del recién nacido",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2006,18,"Corrientes","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",2,"femenino","",NA,"01.De a 0  a 14 anios",4
2010,6,"Buenos Aires","Q91","Síndrome de Edwards y síndrome  de Patau",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2013,30,"Entre Ríos","P91","Otras alteraciones cerebrales del recién nacido",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2012,6,"Buenos Aires","Q78","Otras osteocondrodisplasias",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2005,6,"Buenos Aires","X59","Exposición a factores no especificados",1,"masculino"," ",NA,"01.De a 0  a 14 anios",1
2006,6,"Buenos Aires","A37","Tos ferina [tos convulsiva]",2,"femenino","",NA,"01.De a 0  a 14 anios",5
2019,6,"Buenos Aires","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2018,26,"Chubut","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2014,50,"Mendoza","E84","Fibrosis quística",1,"masculino","",NA,"01.De a 0  a 14 anios",3
2017,74,"San Luis","Q90","Síndrome de Down",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2017,34,"Formosa","D69","Púrpura y otras afecciones hemorrágicas",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2005,90,"Tucumán","Q00","Anencefalia y malformaciones congénitas similares",2,"femenino"," ",NA,"01.De a 0  a 14 anios",1
2014,14,"Córdoba","Q21","Malformaciones congénitas de los tabiques cardíacos",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2012,66,"Salta","Q34","Otras malformaciones congénitas del sistema respiratorio",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2008,74,"San Luis","J21","Bronquiolitis aguda",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2020,22,"Chaco","P05","Retardo del crecimiento fetal y desnutrición fetal",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2006,82,"Santa Fe","P01","Feto y recién nacido afectados por complicaciones maternas del embarazo",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2018,26,"Chubut","P29","Trastornos cardiovasculares originados en el período perinatal",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2019,30,"Entre Ríos","Q78","Otras osteocondrodisplasias",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,82,"Santa Fe","Q91","Síndrome de Edwards y síndrome  de Patau",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2007,10,"Catamarca","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,82,"Santa Fe","Q25","Malformaciones congénitas de las grandes arterias",2,"femenino","",NA,"01.De a 0  a 14 anios",7
